,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName
0,0.734,0.438,6,-6.124,0,0.0865,0.224,0.00292,0.215,0.645,143.961,audio_features,5ibTi2YwtvbB1bTOv2I93d,spotify:track:5ibTi2YwtvbB1bTOv2I93d,https://api.spotify.com/v1/tracks/5ibTi2YwtvbB1bTOv2I93d,https://api.spotify.com/v1/audio-analysis/5ibTi2YwtvbB1bTOv2I93d,187893,4,John Redcorn
0,0.776,0.574,11,-7.061,0,0.234,0.0986,0.0,0.254,0.611,129.04,audio_features,5HZ5NjyJVMaboBgG6uQMpK,spotify:track:5HZ5NjyJVMaboBgG6uQMpK,https://api.spotify.com/v1/tracks/5HZ5NjyJVMaboBgG6uQMpK,https://api.spotify.com/v1/audio-analysis/5HZ5NjyJVMaboBgG6uQMpK,192757,4,Anti-Hero (feat. Lil Tecca)
0,0.494,0.553,5,-5.57,1,0.197,0.413,4.17e-05,0.218,0.359,82.061,audio_features,0fVDu1evgjX9CFD0cmuRrM,spotify:track:0fVDu1evgjX9CFD0cmuRrM,https://api.spotify.com/v1/tracks/0fVDu1evgjX9CFD0cmuRrM,https://api.spotify.com/v1/audio-analysis/0fVDu1evgjX9CFD0cmuRrM,172756,4,last day on earth
0,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,audio_features,6ZFbXIJkuI1dVNWvzJzown,spotify:track:6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/tracks/6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/audio-analysis/6ZFbXIJkuI1dVNWvzJzown,275556,4,Time
0,0.788,0.646,8,-6.751,1,0.185,0.463,3.2e-05,0.0898,0.561,88.007,audio_features,2u1reDAcQvETi2bder48nX,spotify:track:2u1reDAcQvETi2bder48nX,https://api.spotify.com/v1/tracks/2u1reDAcQvETi2bder48nX,https://api.spotify.com/v1/audio-analysis/2u1reDAcQvETi2bder48nX,152727,4,Time
0,0.723,0.489,6,-10.827,0,0.396,0.22,0.0,0.0196,0.474,123.753,audio_features,7d7V1Qjk8jxuMzuI0yBiTQ,spotify:track:7d7V1Qjk8jxuMzuI0yBiTQ,https://api.spotify.com/v1/tracks/7d7V1Qjk8jxuMzuI0yBiTQ,https://api.spotify.com/v1/audio-analysis/7d7V1Qjk8jxuMzuI0yBiTQ,245682,4,Time
0,0.731,0.693,1,-7.372,0,0.0893,0.603,0.0677,0.111,0.798,161.991,audio_features,3dyDvQiRXHqnn4orAlkk6T,spotify:track:3dyDvQiRXHqnn4orAlkk6T,https://api.spotify.com/v1/tracks/3dyDvQiRXHqnn4orAlkk6T,https://api.spotify.com/v1/audio-analysis/3dyDvQiRXHqnn4orAlkk6T,203033,4,Aura (feat. Kojey Radical)
0,0.809,0.493,11,-10.917,0,0.301,0.404,4.86e-06,0.113,0.317,125.448,audio_features,0si0BqHFccbmGENDvATw2g,spotify:track:0si0BqHFccbmGENDvATw2g,https://api.spotify.com/v1/tracks/0si0BqHFccbmGENDvATw2g,https://api.spotify.com/v1/audio-analysis/0si0BqHFccbmGENDvATw2g,153347,5,Mind of a Real
0,0.665,0.69,11,-6.648,0,0.623,0.683,9.55e-06,0.0817,0.346,159.923,audio_features,14AueaL0F80c3o6pTQmszm,spotify:track:14AueaL0F80c3o6pTQmszm,https://api.spotify.com/v1/tracks/14AueaL0F80c3o6pTQmszm,https://api.spotify.com/v1/audio-analysis/14AueaL0F80c3o6pTQmszm,128906,4,Nothin I Won't Do
0,0.816,0.45,1,-11.571,0,0.448,0.0867,0.0,0.126,0.425,83.507,audio_features,2hzeDi6y5AeYhWWxmEzYyV,spotify:track:2hzeDi6y5AeYhWWxmEzYyV,https://api.spotify.com/v1/tracks/2hzeDi6y5AeYhWWxmEzYyV,https://api.spotify.com/v1/audio-analysis/2hzeDi6y5AeYhWWxmEzYyV,160589,4,Truth Be Told
0,0.71,0.543,5,-9.141,1,0.0527,0.478,8.66e-06,0.0988,0.481,83.965,audio_features,5NXthnJecYXjt7sTEWETTY,spotify:track:5NXthnJecYXjt7sTEWETTY,https://api.spotify.com/v1/tracks/5NXthnJecYXjt7sTEWETTY,https://api.spotify.com/v1/audio-analysis/5NXthnJecYXjt7sTEWETTY,138929,4,life got crazy
0,0.686,0.495,5,-9.839,1,0.247,0.565,0.0,0.227,0.671,100.222,audio_features,4PUIGtlHPMaytAZUt2nn1G,spotify:track:4PUIGtlHPMaytAZUt2nn1G,https://api.spotify.com/v1/tracks/4PUIGtlHPMaytAZUt2nn1G,https://api.spotify.com/v1/audio-analysis/4PUIGtlHPMaytAZUt2nn1G,163597,4,Understand (feat. Blxst)
0,0.656,0.474,4,-9.805,0,0.345,0.601,0.0,0.0978,0.386,89.391,audio_features,4zG4UAywU3jPFnrbpEWBXR,spotify:track:4zG4UAywU3jPFnrbpEWBXR,https://api.spotify.com/v1/tracks/4zG4UAywU3jPFnrbpEWBXR,https://api.spotify.com/v1/audio-analysis/4zG4UAywU3jPFnrbpEWBXR,248043,4,Way More Close (Stuck In A Box) (feat. Big Sean)
0,0.582,0.564,0,-4.066,0,0.0837,0.0959,0.0,0.26,0.718,204.002,audio_features,2ssYQKMqVUkoQgi02PmDPB,spotify:track:2ssYQKMqVUkoQgi02PmDPB,https://api.spotify.com/v1/tracks/2ssYQKMqVUkoQgi02PmDPB,https://api.spotify.com/v1/audio-analysis/2ssYQKMqVUkoQgi02PmDPB,196900,4,About You
0,0.644,0.615,7,-3.632,1,0.469,0.631,0.0,0.165,0.681,119.696,audio_features,0P9lyICk63dqZSqXV2HBP0,spotify:track:0P9lyICk63dqZSqXV2HBP0,https://api.spotify.com/v1/tracks/0P9lyICk63dqZSqXV2HBP0,https://api.spotify.com/v1/audio-analysis/0P9lyICk63dqZSqXV2HBP0,170703,5,About You
